pval,effect_size,typeA,typeB
0.18,0.0020404464819078205,c,b
0.09,0.008148124044124794,c,c
0.06,0.008148124044124794,c,b
0.0,0.021499155155523697,c,c
0.0,0.022672461770863683,c,b
0.09,0.007208544245090542,c,c
0.55,0.002109972289920825,c,b
0.31,0.0030848329048843715,c,c
0.0,0.011949098832862215,c,b
0.3,0.0030848329048843715,c,c
0.27,0.004174751161015067,c,b
0.05,0.010672908785643087,c,c
0.2,0.0052826351026865614,c,b
0.19,0.004160101722088583,c,c
0.0,0.023190653010704443,c,b
0.49,0.0010122940447806483,c,c
0.35,0.005358438862925752,c,b
0.35,0.008182772728918541,c,c
0.48,0.0002577854795168255,c,b
0.0,0.05534213338725047,c,c
0.03,0.040612646086712334,c,b
0.0,0.06859146767315039,c,c
0.03,0.05617442635437497,c,b
0.24,0.011729981909930465,c,c
0.2,0.014519079075555719,c,b
0.44,0.0038977107360134156,c,c
0.24,0.004079857780506235,c,b
0.28,0.005141388174807138,c,c
0.28,0.01655340998917254,c,b
0.11,0.03397238780356249,c,c
0.22,0.02272161870801892,c,b
0.23,0.025565304836162484,c,c
0.25,0.021291898397054698,c,b
0.23,0.019772309952258538,c,c
0.16,0.026800224566380093,c,b
0.39,0.011968930535975919,c,c
0.06,0.027267470618150935,c,b
0.05,0.03604560187772432,c,c
0.11,0.023942194122142713,c,b
0.0,0.06212197974718381,c,c
0.0,0.07651214442509047,c,b
0.01,0.04491516709511567,c,c
0.01,0.041596018158945425,c,b
0.03,0.05191516709511568,c,c
0.0,0.055227187555473733,c,b
0.0,0.07315826101776757,c,c
0.0,0.07940104280133031,c,b
0.02,0.0641327979491102,c,c
0.0,0.06913738931733793,c,b
0.01,0.05191516709511568,c,c
0.0,0.055227187555473733,c,b
0.04,0.03614961685588125,c,c
0.04,0.02985634356570388,c,b
0.0,0.07756911804879418,c,c
0.0,0.0771349473148959,c,b
0.0,0.10941516709511567,c,c
0.0,0.09537670555665412,c,b
0.07,0.028442260691174837,c,c
0.09,0.024732912898473014,c,b
0.2,0.006107677562216973,b,c
0.24,0.006107677562216973,b,b
0.0,0.019458708673615877,b,c
0.0,0.020632015288955863,b,b
0.26,0.005168097763182722,b,c
0.42,0.004150418771828646,b,b
0.4,0.001044386422976551,b,c
0.12,0.009908652350954394,b,b
0.4,0.001044386422976551,b,c
0.43,0.002134304679107246,b,b
0.08,0.008632462303735267,b,c
0.29,0.003242188620778741,b,b
0.31,0.0021196552401807622,b,c
0.0,0.021150206528796622,b,b
0.4,0.0010281524371271722,b,c
0.34,0.007398885344833572,b,b
0.3,0.010223219210826362,b,c
0.45,0.002298231961424646,b,b
0.02,0.05738257986915829,b,c
0.04,0.042653092568620155,b,b
0.0,0.0706319141550582,b,c
0.03,0.058214872836282794,b,b
0.3,0.013770428391838285,b,c
0.22,0.01655952555746354,b,b
0.29,0.005938157217921236,b,c
0.41,0.0020394112985984147,b,b
0.4,0.007181834656714958,b,c
0.2,0.01859385647108036,b,b
0.05,0.03601283428547031,b,c
0.11,0.02476206518992674,b,b
0.1,0.027605751318070304,b,c
0.09,0.02333234487896252,b,b
0.21,0.021812756434166358,b,c
0.06,0.028840671048287914,b,b
0.22,0.01400937701788374,b,c
0.11,0.029307917100058756,b,b
0.04,0.03808604835963214,b,c
0.11,0.025982640604050533,b,b
0.02,0.06416242622909163,b,c
0.0,0.07855259090699829,b,b
0.03,0.04695561357702349,b,c
0.01,0.043636464640853245,b,b
0.01,0.0539556135770235,b,c
0.0,0.057267634037381554,b,b
0.0,0.07519870749967539,b,c
0.0,0.08144148928323813,b,b
0.0,0.06617324443101802,b,c
0.01,0.07117783579924575,b,b
0.01,0.0539556135770235,b,c
0.01,0.057267634037381554,b,b
0.05,0.03819006333778907,b,c
0.08,0.0318967900476117,b,b
0.0,0.079609564530702,b,c
0.0,0.07917539379680372,b,b
0.0,0.1114556135770235,b,c
0.0,0.09741715203856194,b,b
0.07,0.030482707173082657,b,c
0.08,0.026773359380380835,b,b
0.47,0.0,c,b
0.02,0.013351031111398903,c,c
0.01,0.01452433772673889,c,b
0.48,0.0009395797990342514,c,c
0.22,0.010258096334045619,c,b
0.35,0.005063291139240422,c,c
0.29,0.0038009747887374212,c,b
0.46,0.005063291139240422,c,c
0.46,0.003973372883109727,c,b
0.47,0.0025247847415182934,c,c
0.45,0.0028654889414382323,c,b
0.44,0.003988022322036211,c,c
0.01,0.015042528966579649,c,b
0.41,0.007135829999344145,c,c
0.23,0.013506562907050546,c,b
0.17,0.016330896773043335,c,c
0.36,0.00840590952364162,c,b
0.01,0.06349025743137526,c,c
0.0,0.04876077013083713,c,b
0.0,0.07673959171727518,c,c
0.01,0.06432255039849977,c,b
0.15,0.01987810595405526,c,c
0.14,0.022667203119680512,c,b
0.35,0.01204583478013821,c,c
0.33,0.0040682662636185585,c,b
0.3,0.013289512218931931,c,c
0.13,0.024701534033297334,c,b
0.0,0.04212051184768728,c,c
0.06,0.030869742752143714,c,b
0.15,0.03371342888028728,c,c
0.15,0.029440022441179492,c,b
0.16,0.02792043399638333,c,c
0.07,0.03494834861050489,c,b
0.22,0.020117054580100713,c,c
0.01,0.03541559466227573,c,b
0.04,0.044193725921849114,c,c
0.07,0.032090318166267506,c,b
0.0,0.0702701037913086,c,c
0.0,0.08466026846921526,c,b
0.02,0.053063291139240465,c,c
0.01,0.04974414220307022,c,b
0.01,0.06006329113924047,c,c
0.0,0.06337531159959853,c,b
0.01,0.08130638506189236,c,c
0.01,0.0875491668454551,c,b
0.0,0.07228092199323499,c,c
0.0,0.07728551336146272,c,b
0.01,0.06006329113924047,c,c
0.0,0.06337531159959853,c,b
0.01,0.044297740900006044,c,c
0.01,0.038004467609828674,c,b
0.01,0.08571724209291898,c,c
0.0,0.08528307135902069,c,b
0.0,0.11756329113924047,c,c
0.0,0.10352482960077891,c,b
0.08,0.03659038473529963,c,c
0.1,0.03288103694259781,c,b
0.02,0.013351031111398903,b,c
0.0,0.01452433772673889,b,b
0.49,0.0009395797990342514,b,c
0.29,0.010258096334045619,b,b
0.41,0.005063291139240422,b,c
0.24,0.0038009747887374212,b,b
0.44,0.005063291139240422,b,c
0.43,0.003973372883109727,b,b
0.43,0.0025247847415182934,b,c
0.46,0.0028654889414382323,b,b
0.4,0.003988022322036211,b,c
0.0,0.015042528966579649,b,b
0.36,0.007135829999344145,b,c
0.27,0.013506562907050546,b,b
0.17,0.016330896773043335,b,c
0.33,0.00840590952364162,b,b
0.0,0.06349025743137526,b,c
0.02,0.04876077013083713,b,b
0.0,0.07673959171727518,b,c
0.02,0.06432255039849977,b,b
0.2,0.01987810595405526,b,c
0.12,0.022667203119680512,b,b
0.28,0.01204583478013821,b,c
0.39,0.0040682662636185585,b,b
0.25,0.013289512218931931,b,c
0.07,0.024701534033297334,b,b
0.04,0.04212051184768728,b,c
0.05,0.030869742752143714,b,b
0.12,0.03371342888028728,b,c
0.14,0.029440022441179492,b,b
0.21,0.02792043399638333,b,c
0.12,0.03494834861050489,b,b
0.27,0.020117054580100713,b,c
0.05,0.03541559466227573,b,b
0.03,0.044193725921849114,b,c
0.06,0.032090318166267506,b,b
0.0,0.0702701037913086,b,c
0.0,0.08466026846921526,b,b
0.01,0.053063291139240465,b,c
0.03,0.04974414220307022,b,b
0.0,0.06006329113924047,b,c
0.0,0.06337531159959853,b,b
0.0,0.08130638506189236,b,c
0.0,0.0875491668454551,b,b
0.0,0.07228092199323499,b,c
0.0,0.07728551336146272,b,b
0.01,0.06006329113924047,b,c
0.0,0.06337531159959853,b,b
0.06,0.044297740900006044,b,c
0.04,0.038004467609828674,b,b
0.0,0.08571724209291898,b,c
0.0,0.08528307135902069,b,b
0.0,0.11756329113924047,b,c
0.01,0.10352482960077891,b,b
0.02,0.03659038473529963,b,c
0.04,0.03288103694259781,b,b
0.31,0.0011733066153399863,c,b
0.19,0.014290610910433155,c,c
0.1,0.023609127445444522,c,b
0.11,0.018414322250639326,c,c
0.3,0.009550056322661482,c,b
0.19,0.018414322250639326,c,c
0.12,0.01732440399450863,c,b
0.27,0.01082624636988061,c,c
0.19,0.016216520052837136,c,b
0.17,0.017339053433435114,c,c
0.38,0.0016914978551807458,c,b
0.15,0.02048686111074305,c,c
0.08,0.02685759401844945,c,b
0.08,0.02968192788444224,c,c
0.11,0.021756940635040523,c,b
0.0,0.07684128854277417,c,c
0.01,0.06211180124223603,c,b
0.0,0.09009062282867408,c,c
0.0,0.07767358150989867,c,b
0.02,0.03322913706545416,c,c
0.02,0.036018234231079416,c,b
0.12,0.025396865891537113,c,c
0.21,0.017419297375017462,c,b
0.1,0.026640543330330835,c,c
0.02,0.03805256514469624,c,b
0.0,0.055471542959086184,c,c
0.0,0.04422077386354262,c,b
0.0,0.04706445999168618,c,c
0.01,0.042791053552578395,c,b
0.05,0.041271465107782235,c,c
0.02,0.04829937972190379,c,b
0.1,0.033468085691499616,c,c
0.02,0.04876662577367463,c,b
0.01,0.05754475703324802,c,c
0.04,0.04544134927766641,c,b
0.0,0.0836211349027075,c,c
0.0,0.09801129958061416,c,b
0.0,0.06641432225063937,c,c
0.0,0.06309517331446912,c,b
0.0,0.07341432225063937,c,c
0.0,0.07672634271099743,c,b
0.0,0.09465741617329126,c,c
0.0,0.10090019795685401,c,b
0.0,0.0856319531046339,c,c
0.0,0.09063654447286162,c,b
0.0,0.07341432225063937,c,c
0.0,0.07672634271099743,c,b
0.0,0.05764877201140495,c,c
0.02,0.05135549872122758,c,b
0.0,0.09906827320431788,c,c
0.0,0.0986341024704196,c,b
0.0,0.13091432225063937,c,c
0.0,0.11687586071217781,c,b
0.0,0.049941415846698534,c,c
0.02,0.04623206805399671,c,b
0.21,0.015463917525773141,b,c
0.09,0.02478243406078451,b,b
0.19,0.019587628865979312,b,c
0.27,0.010723362938001468,b,b
0.17,0.019587628865979312,b,c
0.14,0.018497710609848617,b,b
0.22,0.011999552985220596,b,c
0.19,0.017389826668177122,b,b
0.15,0.0185123600487751,b,c
0.57,0.0005181912398407595,b,b
0.14,0.021660167726083035,b,c
0.09,0.028030900633789435,b,b
0.08,0.030855234499782225,b,c
0.11,0.02293024725038051,b,b
0.0,0.07801459515811415,b,c
0.0,0.06328510785757602,b,b
0.0,0.09126392944401407,b,c
0.0,0.07884688812523866,b,b
0.01,0.03440244368079415,b,c
0.04,0.0371915408464194,b,b
0.13,0.0265701725068771,b,c
0.23,0.018592603990357448,b,b
0.08,0.02781384994567082,b,c
0.02,0.039225871760036224,b,b
0.0,0.05664484957442617,b,c
